tamano;obstaculos;repeticion;algoritmo;tiempoMs;nodosVisitados;longitudRuta;maxColaPila;memoriaAprox
10;20%;28;BFS;0.0324;78;18;11;89
10;20%;28;DFS;0.013;26;18;11;37
10;20%;29;BFS;0.0268;76;18;10;86
10;20%;29;DFS;0.0161;35;22;14;49
10;20%;30;BFS;0.0262;76;18;10;86
10;20%;30;DFS;0.0338;35;22;14;49
10;30%;1;BFS;0.0235;66;18;10;76
10;30%;1;DFS;0.0184;44;18;10;54
10;30%;2;BFS;0.0376;69;18;8;77
10;30%;2;DFS;0.0179;23;20;11;34
10;30%;3;BFS;0.0325;62;24;6;68
10;30%;3;DFS;0.0368;59;24;15;74
10;30%;4;BFS;0.0371;66;20;7;73
10;30%;4;DFS;0.0191;26;24;12;38
10;30%;5;BFS;0.0844;66;18;8;74
10;30%;5;DFS;0.0299;33;18;12;45
10;30%;6;BFS;0.0379;66;18;8;74
10;30%;6;DFS;0.023;33;18;12;45
10;30%;7;BFS;0.0317;57;18;7;64
10;30%;7;DFS;0.0301;52;22;12;64
10;30%;8;BFS;0.0329;63;24;7;70
10;30%;8;DFS;0.4298;39;26;11;50
10;30%;9;BFS;0.0331;63;24;7;70
10;30%;9;DFS;0.0241;39;26;11;50
10;30%;10;BFS;0.034;63;24;7;70
10;30%;10;DFS;0.0246;39;26;11;50
10;30%;11;BFS;0.0313;56;18;9;65
10;30%;11;DFS;0.0202;35;18;10;45
10;30%;12;BFS;0.0307;56;18;9;65
10;30%;12;DFS;0.0283;35;18;10;45
10;30%;13;BFS;0.0298;56;18;9;65
10;30%;13;DFS;0.0207;35;18;10;45
10;30%;14;BFS;0.0198;55;18;7;62
10;30%;14;DFS;0.0117;24;18;13;37
10;30%;15;BFS;0.0239;55;18;7;62
10;30%;15;DFS;0.016;24;18;13;37
10;30%;16;BFS;0.0312;67;18;7;74
10;30%;16;DFS;0.0323;37;20;9;46
10;30%;17;BFS;0.0342;64;18;8;72
10;30%;17;DFS;0.0232;37;18;8;45
10;30%;18;BFS;0.0348;64;18;8;72
10;30%;18;DFS;0.025;37;18;8;45
10;30%;19;BFS;0.0375;64;18;8;72
10;30%;19;DFS;0.0249;37;18;8;45
10;30%;20;BFS;0.032;58;18;7;65
10;30%;20;DFS;0.0166;23;18;11;34
10;30%;21;BFS;0.0316;58;18;7;65
10;30%;21;DFS;0.0181;23;18;11;34
10;30%;22;BFS;0.0315;58;18;7;65
10;30%;22;DFS;0.0184;23;18;11;34
10;30%;23;BFS;0.0293;58;18;7;65
10;30%;23;DFS;0.0167;23;18;11;34
10;30%;24;BFS;0.022;42;18;5;47
10;30%;24;DFS;0.0145;30;18;7;37
10;30%;25;BFS;0.0155;42;18;5;47
10;30%;25;DFS;0.0131;30;18;7;37
10;30%;26;BFS;0.0175;44;18;4;48
10;30%;26;DFS;0.0148;33;18;13;46
