tamano;obstaculos;algoritmo;promTiempo;medianaTiempo;desvTiempo;promVisitados;promRuta;promMemoria
10;10%;BFS;0.03969333333333334;0.032;0.01970962427061685;89.66666666666667;18.0;99.63333333333334
10;10%;DFS;0.06355000000000001;0.0148;0.24766614187921077;23.533333333333335;21.0;39.06666666666667
10;20%;BFS;0.029380000000000003;0.028249999999999997;0.003633951017831694;77.83333333333333;18.0;87.23333333333333
10;20%;DFS;0.015166666666666669;0.01245;0.006131140912496538;29.466666666666665;23.8;43.833333333333336
10;30%;BFS;0.03251333333333333;0.03155;0.011662667886132325;59.4;18.933333333333334;66.7
10;30%;DFS;0.03478333333333334;0.02015;0.07358471799376702;33.2;19.8;43.93333333333333
20;10%;BFS;0.03587666666666667;0.02635;0.02775292997544984;359.9;38.0;380.8666666666667
20;10%;DFS;0.037713333333333335;0.03;0.03687503883237126;49.4;45.2;84.33333333333333
20;20%;BFS;0.031326666666666676;0.028450000000000003;0.013505824258033601;318.1333333333333;38.0;338.6333333333333
20;20%;DFS;0.04544;0.03755;0.019848049442367545;76.16666666666667;59.93333333333333;113.86666666666666
20;30%;BFS;0.03147333333333333;0.0259;0.024013189894074652;260.1333333333333;39.333333333333336;276.8333333333333
20;30%;DFS;0.023819999999999994;0.01855;0.016451735470764173;107.46666666666667;63.86666666666667;141.76666666666668
50;10%;BFS;0.18160666666666667;0.1745;0.0406964448351723;2249.5666666666666;98.0;2300.4666666666667
50;10%;DFS;0.032999999999999995;0.0271;0.020790350325732048;129.86666666666667;123.4;226.76666666666668
50;20%;BFS;0.23261999999999997;0.20365;0.07628087746392713;1992.8;98.06666666666666;2043.1
50;20%;DFS;0.03463;0.0298;0.015512020070470084;284.9;226.06666666666666;432.96666666666664
50;30%;BFS;0.2343833333333333;0.2123;0.06958521913612271;1689.9666666666667;100.33333333333333;1732.4333333333334
50;30%;DFS;0.08102333333333335;0.0508;0.07792036825432032;594.3;237.6;747.5666666666667
